iter	Passed	Remaining
0	10	1016
1	18	928
2	29	966
3	38	930
4	47	904
5	56	889
6	65	872
7	74	851
8	79	800
9	84	758
10	90	729
11	95	703
12	101	678
13	108	665
14	113	642
15	119	625
16	125	613
17	130	596
18	137	585
19	142	570
20	148	557
21	153	544
22	158	532
23	164	519
24	169	508
25	174	497
26	180	486
27	186	478
28	191	468
29	196	458
30	201	449
31	207	440
32	212	431
33	217	423
34	223	414
35	228	407
36	234	398
37	239	390
38	244	382
39	250	375
40	255	367
41	261	360
42	266	353
43	271	346
44	277	338
45	282	332
46	287	324
47	293	317
48	298	311
49	304	304
50	309	297
51	315	291
52	321	284
53	326	278
54	331	271
55	337	265
56	342	258
57	348	252
58	353	245
59	358	239
60	364	232
61	369	226
62	375	220
63	380	214
64	386	207
65	392	202
66	400	197
67	406	191
68	411	185
69	417	178
70	422	172
71	428	166
72	434	160
73	439	154
74	445	148
75	451	142
76	457	136
77	463	130
78	468	124
79	474	118
80	479	112
81	485	106
82	490	100
83	496	94
84	501	88
85	506	82
86	512	76
87	517	70
88	523	64
89	528	58
90	535	52
91	541	47
92	546	41
93	552	35
94	557	29
95	563	23
96	568	17
97	573	11
98	579	5
99	584	0
